Week Number,Week Beginning Date,Total Number of ED Visits by Week,Total Number of ED Visits by Week - Females,Total Number of ED Visits by Week - Males,Total ED Visits by Week Age 10+,Disaster Related Mental Health Age 10+ Count,Disaster Related Mental Health Age 10+ Count - Females,Disaster Related Mental Health Age 10+ Count - Males,Suicide Attempt Age 10+ Count,Suicide Attempt Age 10+ Count - Females,Suicide Attempt Age 10+ Count - Males,All Drug Overdose Count Age 10+,All Drug Overdose Count Age 10+ - Females,All Drug Overdose Count Age 10+ - Males,Opioid Overdose Count Age 10+,Opioid Overdose Count Age 10+ - Females,Opioid Overdose Count Age 10+ - Males,Total ED Visits by Week Age 18+,Intimate Partner Violence Age 18+ Count,Intimate Partner Violence Age 18+ Count - Females,Intimate Partner Violence   Age 18+ Count - Males,Total ED Visits by Week Age 0-17,Suspected Child Abuse and Neglect Age 0-17 Count,Suspected Child Abuse and Neglect  Count - Females,Suspected Child Abuse and Neglect Age 0-17 Count - Males
1,30-Dec-18,2150580,1203839,943026,1863643,34386,19771,14572,4110,2400,1701,11740,5520,6198,3460,1345,2110,1758257,501,370,131,376780,781,536,245
2,6-Jan-19,2047137,1143566,900318,1800982,35754,20733,14964,4347,2526,1812,11065,5331,5722,3093,1198,1893,1673987,385,257,128,358788,878,545,330
3,13-Jan-19,2001817,1112656,885670,1746702,35072,20221,14800,4184,2458,1713,11003,5185,5802,3110,1179,1924,1616248,401,292,108,370813,839,518,321
4,20-Jan-19,2003093,1111889,887973,1741655,34419,20006,14362,4198,2541,1649,10678,5153,5509,3021,1184,1834,1616190,402,299,103,376405,801,499,301
5,27-Jan-19,2008199,1115836,888965,1736940,34499,20156,14287,4254,2540,1712,11273,5355,5902,3341,1267,2069,1603473,417,311,106,394110,871,552,317
6,3-Feb-19,2181749,1212287,965857,1886577,38257,22214,15989,4678,2829,1847,12214,5733,6459,3486,1286,2194,1731341,470,329,141,440826,1024,615,408
7,10-Feb-19,2120086,1176525,940007,1837761,36625,21216,15358,4638,2799,1828,11624,5415,6187,3366,1240,2117,1694088,449,330,119,417310,952,594,356
8,17-Feb-19,2119902,1183261,933119,1837991,36492,21150,15294,4532,2725,1792,11414,5365,6029,3247,1226,2017,1701403,394,275,119,409964,951,605,345
9,24-Feb-19,2077054,1155363,918346,1806989,37180,21691,15443,4612,2741,1858,12302,5741,6543,3825,1386,2432,1663286,430,309,121,405321,932,565,365
10,3-Mar-19,2100412,1164546,932487,1825045,37237,21459,15719,4391,2604,1778,11988,5574,6400,3693,1346,2340,1684185,434,293,141,407157,911,545,366
11,10-Mar-19,2214226,1230448,980087,1921236,39310,23071,16178,4484,2692,1787,11964,5603,6338,3539,1355,2178,1773225,451,307,144,430241,931,565,360
12,17-Mar-19,2169273,1208265,957440,1888137,38712,22592,16061,4570,2754,1798,11707,5497,6191,3343,1239,2097,1743243,403,284,119,415500,1057,674,379
13,24-Mar-19,2136109,1188050,944610,1859998,38170,22355,15756,4510,2665,1832,12126,5685,6416,3599,1372,2221,1719920,468,324,144,405386,1020,667,352
14,31-Mar-19,2094818,1162271,928889,1830286,38216,22230,15927,4490,2671,1805,12808,5854,6929,3914,1426,2477,1691275,444,335,109,392922,1016,647,368
15,7-Apr-19,2135614,1181830,950382,1871463,39906,23239,16589,4821,2984,1826,12737,5941,6778,3733,1379,2346,1726828,426,317,109,398641,1052,650,402
16,14-Apr-19,2064926,1141428,919971,1810707,37894,21997,15843,4540,2777,1757,12131,5693,6419,3541,1327,2208,1681757,453,330,123,372286,985,622,363
17,21-Apr-19,2102453,1164745,934130,1842912,38555,22769,15728,4677,2844,1820,12439,5871,6542,3781,1408,2365,1705847,465,326,139,381722,1064,686,378
18,28-Apr-19,2111910,1170106,938497,1858140,40180,23566,16562,4775,2839,1932,13644,6256,7356,4160,1542,2605,1713163,446,317,129,385313,1092,678,413
19,5-May-19,2123553,1169925,950017,1869898,40680,23558,17078,4913,2949,1953,13271,6230,7017,4038,1498,2530,1725411,470,333,137,383800,1073,712,361
20,12-May-19,2118026,1169222,945063,1864459,39852,23198,16604,4730,2835,1887,12723,5959,6745,3783,1395,2381,1724009,446,328,118,379435,1126,703,422
21,19-May-19,2151000,1186017,960827,1894777,40283,23703,16518,4630,2744,1881,13271,6137,7116,4008,1506,2496,1758732,479,350,129,377885,1218,770,448
22,26-May-19,2145324,1178736,962908,1887469,39073,22861,16151,4623,2797,1814,13300,6140,7137,4037,1514,2515,1761647,537,397,140,368808,1030,678,352
23,2-Jun-19,2104925,1155109,946169,1865400,39719,23210,16448,4605,2653,1942,13829,6209,7589,4457,1571,2870,1744922,534,390,143,343902,1014,678,336
24,9-Jun-19,2075890,1140927,931076,1845115,38629,22653,15919,4514,2637,1871,13115,6008,7085,4100,1519,2570,1730454,434,322,112,327754,1019,653,363
25,16-Jun-19,2078402,1142954,931598,1855342,39670,23060,16551,4593,2699,1887,13326,5980,7328,4104,1509,2588,1745998,515,375,140,314157,965,638,326
26,23-Jun-19,2078447,1141445,933250,1859041,39651,23218,16396,4492,2608,1875,13364,6097,7251,4140,1551,2582,1749682,501,352,148,311630,985,645,339
27,30-Jun-19,2051199,1118058,929367,1830120,38438,22556,15833,4466,2564,1892,14132,6214,7894,4601,1658,2937,1720710,538,380,158,312951,905,615,290
28,7-Jul-19,2137091,1173568,959696,1920478,41346,24126,17164,4654,2693,1953,13378,5969,7387,4177,1510,2660,1805209,531,379,152,314477,1068,693,374
29,14-Jul-19,2104572,1155824,944928,1894036,40880,23806,17002,4532,2635,1895,13508,6155,7329,4213,1570,2631,1781418,506,359,147,307057,945,621,324
30,21-Jul-19,2080193,1144745,931697,1873363,40243,23669,16507,4653,2720,1924,13263,6121,7119,4023,1448,2566,1761773,482,363,119,304458,1026,669,357
31,28-Jul-19,2071253,1138236,929519,1863288,40271,23724,16480,4502,2638,1856,14176,6180,7961,4688,1643,3036,1752005,506,373,133,304025,1081,707,372
32,4-Aug-19,2088005,1144324,940073,1880779,42285,24670,17543,4778,2774,1997,13921,6158,7738,4412,1554,2850,1768919,466,336,130,303672,1047,665,382
33,11-Aug-19,2095885,1149992,942219,1886034,41955,24555,17334,4832,2672,2150,13809,6045,7741,4395,1533,2858,1767139,492,365,127,313468,980,647,332
34,18-Aug-19,2118332,1161287,952698,1898100,41610,24231,17333,4693,2694,1992,13506,6139,7352,4310,1528,2778,1766542,535,396,139,336629,996,625,369
35,25-Aug-19,2119138,1162690,952916,1889699,40806,23898,16843,4658,2659,1992,13834,6061,7744,4353,1498,2844,1748150,485,366,119,359189,955,622,332
36,1-Sep-19,2170486,1186975,980052,1931706,41883,24285,17554,4839,2785,2044,14349,6277,8052,4500,1612,2883,1787489,530,395,135,374719,1048,675,372
37,8-Sep-19,2194871,1205302,985960,1961078,44187,25813,18308,5172,3088,2074,14037,6337,7679,4363,1499,2854,1801735,525,381,144,384925,1105,704,399
38,15-Sep-19,2199003,1209201,986076,1956276,44025,25890,18062,5023,2968,2044,13865,6277,7559,4275,1520,2750,1791618,502,348,154,399108,1125,713,412
39,22-Sep-19,2205649,1214060,987503,1958027,43329,25447,17822,4993,2934,2047,13850,6173,7642,4377,1592,2773,1796242,495,350,145,400630,1144,722,422
40,29-Sep-19,2154091,1184339,966233,1909951,42702,24844,17792,5080,3069,2002,14509,6499,7983,4689,1697,2980,1757568,475,335,140,387906,1048,658,390
41,6-Oct-19,2107218,1158583,945057,1866196,41611,24259,17288,4803,2820,1976,13345,5951,7376,4244,1517,2721,1722569,468,333,135,376709,1002,635,366
42,13-Oct-19,2097624,1156047,938018,1850272,41233,24196,16973,4808,2873,1925,12801,5821,6955,3925,1370,2543,1711034,439,323,116,377887,984,632,352
43,20-Oct-19,2120286,1170261,946309,1868092,42491,24994,17436,4948,3015,1920,13170,6054,7092,3939,1476,2454,1721364,422,295,127,390518,1111,687,424
44,27-Oct-19,2077264,1144879,929095,1821715,41576,24396,17105,4931,2965,1961,13569,6194,7346,4257,1587,2659,1681713,452,327,125,387151,1034,657,377
45,3-Nov-19,2138682,1179865,955419,1860165,40882,23746,17093,5073,3035,2034,13640,6006,7619,4204,1458,2742,1716196,452,325,127,413786,1023,693,329
46,10-Nov-19,2134802,1179361,951986,1850018,39467,22937,16483,5119,3066,2039,12844,5846,6985,3921,1403,2516,1710506,437,329,108,414979,971,623,348
47,17-Nov-19,2223157,1231068,988746,1919503,41674,24259,17364,5193,3178,2008,13156,6035,7108,3945,1385,2554,1767162,432,307,124,446975,1074,666,407
48,24-Nov-19,2111442,1161108,946936,1795871,36475,20929,15489,4369,2505,1856,12506,5549,6933,3970,1394,2569,1679322,436,321,115,421822,880,607,272
49,1-Dec-19,2239438,1244619,991556,1941942,40339,23061,17211,5060,3040,2009,13440,6006,7408,4245,1497,2737,1796020,392,288,104,433674,1024,624,399
50,8-Dec-19,2253456,1246675,1003294,1941775,41346,23919,17360,5208,3046,2156,13422,6023,7386,4115,1451,2655,1788341,463,330,132,455485,1073,709,364
51,15-Dec-19,2237289,1231128,1002790,1898471,38664,22173,16437,4634,2640,1987,12936,5618,7299,3980,1410,2563,1755760,481,356,125,470979,974,622,351
52,22-Dec-19,2346101,1291800,1050896,1963151,35670,20253,15369,4156,2362,1788,12757,5494,7241,4186,1488,2689,1838671,427,311,116,496586,744,488,256
1,29-Dec-19,2431550,1359244,1068555,2096021,40278,22963,17252,4832,2853,1967,13976,6304,7652,4516,1610,2898,1978652,451,338,113,443093,872,588,284
2,5-Jan-20,2320426,1290564,1026388,2043030,42206,24086,18049,5049,2895,2148,13531,6112,7391,4232,1531,2690,1899738,459,328,131,410720,918,569,348
3,12-Jan-20,2290679,1270160,1017164,1993271,42643,24651,17924,5233,3130,2089,13704,6213,7482,4269,1514,2752,1837647,449,314,135,442580,998,641,357
4,19-Jan-20,2288235,1267522,1017296,1976475,41889,24312,17513,5292,3142,2141,13367,6104,7227,4139,1484,2643,1823467,466,324,142,454664,1086,703,383
5,26-Jan-20,2382797,1322111,1057401,2047355,44100,25569,18470,5440,3260,2162,14307,6461,7825,4549,1618,2926,1868974,429,313,116,503087,1091,690,401
6,2-Feb-20,2372022,1308994,1059718,2039235,44116,25602,18464,5504,3286,2211,14763,6455,8293,4751,1623,3122,1864333,471,333,138,495914,1024,644,380
7,9-Feb-20,2307535,1272809,1031243,2001179,44782,25861,18865,5599,3292,2295,14110,6375,7722,4278,1507,2763,1841309,432,320,112,454975,1030,624,405
8,16-Feb-20,2293313,1268872,1020998,1996728,44376,25907,18410,5412,3266,2137,14335,6474,7845,4514,1572,2937,1848919,514,375,139,433053,1069,683,384
9,23-Feb-20,2255199,1245012,1006703,1978152,44596,25919,18598,5337,3226,2106,15168,6737,8414,4927,1738,3185,1826294,426,307,119,418066,1045,676,369
10,1-Mar-20,2286307,1254606,1028176,2002602,45274,26270,18944,5385,3172,2208,15402,6776,8612,5089,1737,3348,1845300,440,318,122,429968,1222,756,465
11,8-Mar-20,2272337,1239096,1029878,1993669,42903,24503,18355,5212,3039,2159,14543,6504,8022,4752,1741,3009,1842658,444,317,127,418915,1090,690,399
12,15-Mar-20,1825762,968159,854980,1636962,35288,19396,15847,4472,2519,1945,13213,5746,7452,4446,1595,2844,1559747,415,293,122,257608,689,466,223
13,22-Mar-20,1468120,768417,697604,1354606,32226,17574,14597,4241,2474,1763,12399,5197,7185,4306,1440,2858,1302275,347,242,105,158826,487,313,174
14,29-Mar-20,1278438,662438,614116,1196057,30034,16457,13524,4064,2331,1722,12372,5131,7212,4384,1457,2919,1151810,294,194,100,120520,450,304,146
15,5-Apr-20,1215195,625912,587456,1141295,30276,16354,13868,4192,2421,1762,12193,5134,7040,4232,1417,2804,1098237,297,204,93,111131,452,315,137
16,12-Apr-20,1193674,621124,570624,1121637,30340,16561,13730,4123,2347,1768,12734,5337,7378,4489,1547,2931,1078840,313,213,100,108991,473,316,156
17,19-Apr-20,1264036,661585,600487,1186814,32493,17928,14509,4324,2535,1776,13182,5576,7585,4522,1507,3009,1139341,361,250,111,118437,597,401,195
18,26-Apr-20,1320675,693881,624763,1238819,33716,18782,14884,4314,2532,1775,14717,6211,8479,5473,1956,3506,1186262,358,250,108,128186,625,416,208
19,3-May-20,1383066,725881,654751,1295976,35780,19815,15917,4637,2641,1987,15059,6337,8685,5545,1831,3702,1239628,398,263,135,136863,630,413,217
20,10-May-20,1433193,756315,674706,1339214,36449,20203,16205,4693,2750,1934,15321,6335,8963,5511,1830,3672,1279222,401,276,125,146943,697,457,240
21,17-May-20,1535357,814610,718375,1434050,38599,21647,16881,4753,2772,1968,15465,6464,8975,5493,1838,3647,1368708,422,312,109,159233,843,582,261
22,24-May-20,1628630,863834,762280,1516568,40132,22818,17254,4716,2769,1940,15898,6695,9173,5764,1921,3833,1444190,463,346,117,176613,875,599,275
23,31-May-20,1677826,886993,788191,1562955,40978,23176,17738,4858,2774,2074,16415,6777,9607,5923,1975,3937,1486544,434,317,117,183531,841,587,254
24,7-Jun-20,1753071,932480,817842,1631823,42556,24128,18349,4946,2853,2080,15958,6643,9276,5687,1946,3731,1550181,480,339,141,194746,959,652,307
25,14-Jun-20,1797805,960214,834647,1671728,42666,24294,18317,4933,2908,2013,15969,6789,9157,5769,2000,3759,1585775,473,338,135,203177,922,605,316
26,21-Jun-20,1892041,1014424,874473,1759205,44122,25379,18675,5026,2934,2079,16502,6894,9580,5799,1963,3825,1669490,496,371,125,213250,962,698,263
27,28-Jun-20,1897339,1012457,881761,1760850,42425,24216,18139,4925,2843,2074,16568,6896,9641,5847,1978,3857,1668377,510,372,138,219637,853,570,281
28,5-Jul-20,1992616,1066063,923369,1853490,44883,25493,19332,5307,3090,2204,16327,6964,9330,5623,1962,3651,1756412,500,353,147,226454,967,665,298
29,12-Jul-20,1950659,1047913,899587,1813579,44237,25390,18781,5337,3144,2179,16416,6952,9437,5721,1973,3738,1716258,456,320,136,225049,863,578,285
30,19-Jul-20,1912394,1029111,880016,1778689,43580,25124,18403,5197,3070,2121,16149,6856,9270,5564,1877,3675,1684011,442,311,129,218810,988,672,316
31,26-Jul-20,1900991,1023173,874445,1766629,43412,25177,18184,5257,3159,2093,16720,6992,9697,5753,1967,3776,1672520,465,341,123,219142,964,663,301
32,2-Aug-20,1884924,1012191,869400,1750114,43708,25123,18524,5182,3044,2123,16533,6958,9537,5792,1936,3843,1656386,441,340,101,219079,998,658,338
33,9-Aug-20,1917269,1030184,883433,1779337,44534,25609,18865,5267,3156,2102,15981,7042,8912,5533,2028,3490,1684456,477,375,102,222551,1000,675,323
34,16-Aug-20,1903017,1024129,874891,1763767,44735,25720,18955,5225,3120,2092,15663,6784,8852,5240,1771,3459,1668609,458,329,129,223886,983,686,297
35,23-Aug-20,1906844,1026917,875221,1765907,45194,26145,18993,5525,3275,2236,15782,6831,8935,5425,1849,3571,1667656,472,347,125,228329,979,621,357
36,30-Aug-20,1899651,1023760,871805,1758923,44973,25904,19005,5467,3269,2189,16530,6997,9500,5817,1942,3861,1657559,454,330,124,231632,1018,670,347
37,6-Sep-20,1912690,1034929,874362,1766418,44947,25855,19027,5593,3446,2136,15548,6761,8773,5173,1799,3371,1663038,473,344,129,239143,1033,693,340
38,13-Sep-20,1908708,1034563,870854,1762959,45618,26532,19032,5585,3381,2197,15371,6738,8614,5180,1778,3396,1655548,442,318,124,242394,981,638,343
39,20-Sep-20,1914778,1041196,870218,1768020,44265,25777,18441,5606,3450,2148,15519,6799,8696,5047,1786,3256,1658330,450,321,129,247103,1022,654,368
40,27-Sep-20,1894900,1032787,858553,1749180,43674,25206,18421,5410,3311,2087,15155,6787,8347,4797,1688,3102,1639701,389,294,95,245416,906,599,306
41,4-Oct-20,1952544,1062373,887019,1803988,41054,23475,17529,5155,3183,1965,14464,6449,7998,4224,1418,2798,1694027,438,300,138,248969,930,625,305
