week,Pulse Anxiety,Pulse Depression,Pulse Medication,Pulse Therapy,Pulse Needed Treatment,SSD Anxiety,SSD Depression,SSD Suicidal Ideation,NSSP Disaster related mental health ED visits,NSSP Suicidal attempt ED visits
2018-01-07,NA,NA,NA,NA,NA,8.39,5.14,0.57,NA,NA
2018-01-14,NA,NA,NA,NA,NA,8.54,5.26,0.59,NA,NA
2018-01-21,NA,NA,NA,NA,NA,8.8,5.4,0.63,NA,NA
2018-01-28,NA,NA,NA,NA,NA,8.65,5.41,0.66,NA,NA
2018-02-04,NA,NA,NA,NA,NA,8.75,5.53,0.62,NA,NA
2018-02-11,NA,NA,NA,NA,NA,8.54,5.39,0.61,NA,NA
2018-02-18,NA,NA,NA,NA,NA,8.81,5.44,0.61,NA,NA
2018-02-25,NA,NA,NA,NA,NA,8.89,5.5,0.61,NA,NA
2018-03-04,NA,NA,NA,NA,NA,8.95,5.58,0.6,NA,NA
2018-03-11,NA,NA,NA,NA,NA,8.66,5.4,0.6,NA,NA
2018-03-18,NA,NA,NA,NA,NA,8.79,5.52,0.61,NA,NA
2018-03-25,NA,NA,NA,NA,NA,8.54,5.37,0.58,NA,NA
2018-04-01,NA,NA,NA,NA,NA,8.87,5.61,0.58,NA,NA
2018-04-08,NA,NA,NA,NA,NA,8.91,5.59,0.6,NA,NA
2018-04-15,NA,NA,NA,NA,NA,9.03,5.68,0.62,NA,NA
2018-04-22,NA,NA,NA,NA,NA,8.92,5.65,0.62,NA,NA
2018-04-29,NA,NA,NA,NA,NA,8.79,5.47,0.6,NA,NA
2018-05-06,NA,NA,NA,NA,NA,8.47,5.36,0.6,NA,NA
2018-05-13,NA,NA,NA,NA,NA,8.42,5.3,0.6,NA,NA
2018-05-20,NA,NA,NA,NA,NA,8.18,5.21,0.64,NA,NA
2018-05-27,NA,NA,NA,NA,NA,8.13,5.25,0.58,NA,NA
2018-06-03,NA,NA,NA,NA,NA,8.61,6.12,1.45,NA,NA
2018-06-10,NA,NA,NA,NA,NA,8.57,5.62,0.79,NA,NA
2018-06-17,NA,NA,NA,NA,NA,8.35,5.77,0.65,NA,NA
2018-06-24,NA,NA,NA,NA,NA,8.41,5.41,0.59,NA,NA
2018-07-01,NA,NA,NA,NA,NA,8.11,5.22,0.56,NA,NA
2018-07-08,NA,NA,NA,NA,NA,8.66,5.35,0.55,NA,NA
2018-07-15,NA,NA,NA,NA,NA,8.71,5.36,0.55,NA,NA
2018-07-22,NA,NA,NA,NA,NA,8.81,5.47,0.56,NA,NA
2018-07-29,NA,NA,NA,NA,NA,8.75,5.38,0.57,NA,NA
2018-08-05,NA,NA,NA,NA,NA,8.73,5.33,0.55,NA,NA
2018-08-12,NA,NA,NA,NA,NA,8.81,5.23,0.55,NA,NA
2018-08-19,NA,NA,NA,NA,NA,8.8,5.14,0.55,NA,NA
