"A1","A2","A3","A4","A0","week"
81563348,77079809,30361230,36573868,23592661,1
79585195,75541869,28794046,37030265,28219541,6
79977818,79786137,30839962,37812034,20754965,7
69865479,79557885,32528270,44092952,23126330,12
81844692,75343118,28448757,33514307,30020042,4
71384901,78757620,33686881,43001850,22339664,11
79440889,81335309,30181141,37095751,21117826,8
76254927,80777712,31718572,39781034,20638671,9
73463431,80690845,32715990,40857854,21442796,10
79932518,75260536,28158735,35554304,30264822,5
83572703,79935783,30243406,36500138,18918887,2
82325507,81680428,28372282,32258100,24534599,3
75399390,63049054,27556371,35885618,47280483,15
74861157,65469429,26052604,34649769,48137957,14
75309433,63892455,25816178,34619130,49533720,13
72932152,63355685,25686357,37391615,49805107,17
75061794,62991048,27161273,35673473,48283327,16
61446881,64766797,29426017,42046322,51484899,19
67436325,59531771,27663980,40949055,53589785,18
62166764,65445018,27718950,42692392,51147791,21
64774534,63959030,28638479,40384921,51413952,20
65318001,63404438,27900859,40863100,51684518,23
64397711,60390157,24618509,42306506,57458032,22
71961227,60184025,24669583,38033134,54322947,25
70050613,61740920,24788094,38615980,53975310,24
78429969,56047243,22580599,33015271,59097833,27
75445792,58387942,23075522,35705628,56556033,26
