"A1","A2","A3","A4","A0","week"
109208403,70433267,23197640,21635164,24696443,3
97066623,72785397,26803130,29338246,23177519,12
114207190,69280442,23519803,23208441,18955040,2
103518597,74617874,24342045,25852402,20839997,9
104172751,68823237,21469634,24406643,30298651,5
107670667,66231018,21484551,23811822,29972859,4
107246188,72144849,23273706,25392427,21113746,8
109179802,71698885,22788888,24734772,20768570,7
104886223,68559958,22601380,25110260,28013094,6
101895311,74078654,24472732,27170221,21553998,10
116224466,67388983,21859680,20094822,23602966,1
100559866,73393965,25101050,27716583,22399452,11
99146470,60407182,19359895,20283131,49974239,13
98694281,61771454,20258219,20166478,48280485,14
98570062,61864737,19923188,21268138,47544791,15
98840931,60355809,21146169,20194244,48633763,16
96618285,59577524,21488723,21475730,50010654,17
92495047,58183021,20448802,23966113,54077934,18
88488818,62317540,22033925,24591181,51739451,19
88808083,62662829,21808454,24298892,51592657,20
86746486,61872217,21917291,27343344,51291578,21
90901914,60149485,19674898,24174329,54270290,24
92379487,57930360,21090804,23048847,54721417,25
88264634,58357811,20077523,24525795,57945153,22
89241458,62156113,21197589,24478362,52097394,23
93428635,57076818,19208939,22537487,56919037,26
97599519,53818238,17306627,21226058,59220474,27
