"bY","bN","bR","cY","cN","cR","aY","aN","aR","week"
19380633,174458248,55332035,20474539,173556041,55140335,39256562,154665662,55248692,17
17653138,177472796,54044982,18964359,176201560,54004997,38058701,157085371,54026843,16
17758658,178899583,52512674,20490893,176237590,52442433,38910310,157728877,52531729,15
17785943,177865688,53519285,18955505,176799929,53415482,38421135,157251031,53498750,14
16936467,176652263,55582186,17767288,176044658,55358969,37483304,156149025,55538587,13
19649830,173117327,56403759,23963190,168921520,56286206,42012561,150656183,56502172,21
19426682,173239103,56505132,23084102,169675553,56411261,41219254,151294705,56656957,20
18988925,172986546,57195446,21373162,170424152,57373602,41436070,150418260,57316587,19
18568668,170986612,59615636,21296728,168205291,59668897,39481805,149947572,59741539,18
18660841,166066477,64443599,20561292,164349566,64260057,38055003,146767839,64348075,27
19722706,167031389,62416821,21895811,164954665,62320441,39501280,147298066,62371571,26
18769412,173260081,57141422,22437997,169699637,57033282,40672556,151192702,57305658,23
17890572,167808610,63471734,21157881,164690139,63322895,38477836,147188648,63504432,22
19507166,169599816,60063934,22433923,166787484,59949509,39979537,149100191,60091189,25
19547307,170559258,59064351,21804561,168351930,59014424,39514584,150665746,58990586,24
